Time	R_int	R_core	R_solvus	T_surf	T_magma	T_cmb	gravity	Phi_global	RF_depth	M_mantle_solid	M_mantle_liquid	R_obs	P_surf	fO2_shift_IW_derived
0.0000000000e+00	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7286636290e+03	4.2638967480e+03	1.2551178993e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.1222987842e+24	3.7974950694e+25	1.3197048804e+07	1.0024265595e+04	4.0000000000e+00
0.0000000000e+00	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7313696987e+03	4.2638967480e+03	1.2551178993e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.1222987842e+24	3.7974950694e+25	1.3185061652e+07	1.0024271963e+04	4.0000000000e+00
0.0000000000e+00	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7328118151e+03	4.2638967480e+03	1.2551178993e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.1222987842e+24	3.7974950694e+25	1.3175205630e+07	1.0024271963e+04	4.0000000000e+00
1.0000000000e+00	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7336851465e+03	4.2638967480e+03	1.2551178993e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.1222987842e+24	3.7974950694e+25	1.3161464532e+07	1.0024271963e+04	4.0000000000e+00
2.0000000000e+00	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7416935157e+03	4.2756446421e+03	1.2527946832e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.1302354367e+24	3.7967014041e+25	1.3159469515e+07	1.0383773307e+04	4.0000000000e+00
1.2000000000e+01	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7415700657e+03	4.2755118270e+03	1.2527579763e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.1298848550e+24	3.7967364623e+25	1.3159402966e+07	1.0379651919e+04	4.0000000000e+00
2.2000000000e+01	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7414801598e+03	4.2753787128e+03	1.2527215433e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.1295340780e+24	3.7967715400e+25	1.3159402421e+07	1.0375518853e+04	4.0000000000e+00
1.2200022000e+02	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7406185290e+03	4.2740474745e+03	1.2523572053e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.1260261915e+24	3.7971223286e+25	1.3159318321e+07	1.0334262934e+04	4.0000000000e+00
2.8200057200e+02	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7392167858e+03	4.2719188310e+03	1.2517746249e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.1204170568e+24	3.7976832421e+25	1.3159185567e+07	1.0268586083e+04	4.0000000000e+00
5.3800113520e+02	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7370014681e+03	4.2685162023e+03	1.2508433728e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.1114508789e+24	3.7985798599e+25	1.3158971611e+07	1.0164343587e+04	4.0000000000e+00
9.4760203632e+02	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7334248914e+03	4.2630804448e+03	1.2493556813e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.0971272535e+24	3.8000122224e+25	1.3158632694e+07	9.9996944128e+03	4.0000000000e+00
1.6029634781e+03	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7276759567e+03	4.2544041544e+03	1.2469811014e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.0742645877e+24	3.8022984890e+25	1.3158093758e+07	9.7416267818e+03	4.0000000000e+00
2.6515417850e+03	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7180909022e+03	4.2406039886e+03	1.2432046646e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	2.0378495439e+24	3.8059399934e+25	1.3157255477e+07	9.3429398496e+03	4.0000000000e+00
4.3292670760e+03	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.7034885518e+03	4.2188393398e+03	1.2372530787e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	1.9800784388e+24	3.8117171039e+25	1.3155899297e+07	8.7427274601e+03	4.0000000000e+00
7.0136275415e+03	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.6809930860e+03	4.1844600297e+03	1.2278532310e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	1.8886341066e+24	3.8208615371e+25	1.3153700113e+07	7.8626305002e+03	4.0000000000e+00
1.1308604286e+04	1.2926789850e+07	5.9229772892e+06	0.0000000000e+00	3.6452343203e+03	4.1309453792e+03	1.2132291610e+04	2.3803379841e+01	1.0000000000e+00	5.4180602007e-01	1.7452395244e+24	3.8352009953e+25	1.3150236533e+07	6.6464320219e+03	4.0000000000e+00
